IND,naics,ces_code
0170,111,NA
0180,112,NA
0190,"1131, 1132",NA
0270,1133,10113300
0280,114,NA
0290,115,NA
0370,211,10211000
0380,2121,10212100
0390,2122,10212200
0470,2123,10212300
0480,Part of 21,10210000-10211000-10212100-10212200-10212300-10213000
0490,213,10213000
0770,23,20000000
0770,23,20000000
1070,"3111, 3112",32311100+32311200
1080,3113,32311300
1090,3114,32311400
1170,3115,32311500
1180,3116,32311600
1190,311811,32311811
1270,3118 exc. 311811,32311800-32311811
1280,"3117, 3119",32311700+32311900
1290,Part of 311,32311000-32311100-32311200-32311300-32311400-32311500-32311600-32311800-32311700-32311900
1370,3121,32329100
1390,3122,32329900
1470,3131,32313000
1480,3132 exc. 31324,32313000
1490,3133,32313000
1570,31411,32314000
1590,314 exc. 31411,32314000
1670,"31324, 3151",32315000
1691,"3152, 3159",32315000
1770,3162,30000000-31321000-31327000-31331000-31332000-31333000-31334000-31335000-31336000-31337000-31339000-32311000-32313000-32314000-32315000-32322000-32323000-32324000-32325000-32326000-32329100-32329900
1790,"3161, 3169",30000000-31321000-31327000-31331000-31332000-31333000-31334000-31335000-31336000-31337000-31339000-32311000-32313000-32314000-32315000-32322000-32323000-32324000-32325000-32326000-32329100-32329900
1870,3221,32322100
1880,32221,32322210
1890,"32222,32223, 32229",32322220+32322290
1990,3231,32323000
2070,32411,32324110
2090,"32412, 32419",32324190
2170,3252,32325200
2180,3253,32325300
2190,3254,32325400
2270,3255,32325500
2280,3256,32325600
2290,"3251, 3259",32325100+32325900
2370,3261,32326100
2380,32621,32326210
2390,"32622, 32629",32326290
2470,32711,31327100
2480,327120,31327100
2490,3272,31327200
2570,"3273, 3274",31327300+31327900
2590,3279,31327300+31327900
2670,"3311, 3312",31331100+31331200
2680,3313,31331300
2690,3314,31331400
2770,3315,31331500
2780,3321,31332100
2790,3322,31332200
2870,"3323, 3324",31332300+31332400
2880,3327,31332700
2890,3328,31332800
2970,"332992, 332993, 332994, 332996",31332994
2980,"3325, 3326, 3329 exc. 332992, 332993, 332994, 332996",31332600+31332900-31332994
2990,Part of 331 and 332,31331000+31332000-31331100-31331200-31331300-31331400-31331500-31332100-31332200-31332300-31332400-31332700-31332800-31332994-31332600-31332900
3070,33311,31333110
3080,"33312, 33313",31333120+31333130
3095,3333,31333300
3170,3335,31333500
3180,3336,31333600
3291,"3332, 3334, 3339, Part of 333",31333000-31333110-31333120-31333130-31333300-31333500-31333600
3365,3341,31334100
3370,"3342, 3343",31334200+31334400+31334600
3380,3345,31334500
3390,"3344, 3346",31334200+31334400+31334600
3470,3352,31335200
